iter	Logloss
0	0.6702334696
1	0.6503174744
2	0.6308716939
3	0.6141082662
4	0.5990564473
5	0.5848577474
6	0.5714261678
7	0.5596959229
8	0.5488258667
9	0.538842926
10	0.5303835246
11	0.5220170186
12	0.5143392537
13	0.507319163
14	0.5010617167
15	0.4952574056
16	0.4896490072
17	0.4849341532
18	0.4804679362
19	0.476616984
20	0.4730112305
21	0.4696568705
22	0.4666731669
23	0.4638034871
24	0.4613197123
25	0.4586941833
26	0.4565347493
27	0.4546406759
28	0.4527368774
29	0.4510687459
30	0.4492739461
31	0.4476674703
32	0.4461182048
33	0.4448404134
34	0.443538564
35	0.4422774353
36	0.4413177083
37	0.4403296407
38	0.4394673767
39	0.4386388041
40	0.4379018351
41	0.4370927531
42	0.4362795105
43	0.4356701864
44	0.434982371
45	0.4342923279
46	0.4336735738
47	0.4330975952
48	0.4325833639
49	0.4320992635
50	0.4316448975
51	0.4311463013
52	0.4307173665
53	0.430353241
54	0.4299352214
55	0.4295830282
56	0.4292619019
57	0.4289096069
58	0.4284689128
59	0.4280866903
60	0.4277466125
61	0.4275027262
62	0.4272055766
63	0.4269684652
64	0.4266791687
65	0.4264008789
66	0.4261827799
67	0.4258723755
68	0.4256506755
69	0.4253859762
70	0.4251349996
71	0.4249160563
72	0.4247326965
73	0.4245088806
74	0.4243369649
75	0.4240242208
76	0.4238554688
77	0.4236368408
78	0.4234286601
79	0.4232345683
80	0.4230337626
81	0.4228938802
82	0.4226796468
83	0.4224607239
84	0.4222704875
85	0.4220913086
86	0.4219154358
87	0.4217390238
88	0.4215688273
89	0.4214072266
90	0.4212658488
91	0.4211296082
92	0.4209372253
93	0.4208116557
94	0.4206608276
95	0.4205294088
96	0.4203249817
97	0.4202006938
98	0.4200472921
99	0.4198136292
100	0.4197393087
101	0.4195070292
102	0.4193120728
103	0.4191781006
104	0.4190431112
105	0.4188775228
106	0.4187715047
107	0.4185986735
108	0.4184860535
109	0.4183501078
110	0.4182449341
111	0.4181458537
112	0.4180256449
113	0.4179781494
114	0.4178861898
115	0.4177901815
116	0.4176553752
117	0.4175461019
118	0.4173797811
119	0.4172153931
120	0.4171108907
121	0.4169979858
122	0.4168881836
123	0.4167817891
124	0.4166645813
125	0.4165753581
126	0.4164048258
127	0.416333018
128	0.4162218933
129	0.4160966288
130	0.4160318095
131	0.4158994344
132	0.4158449809
133	0.4157654419
134	0.4156943461
135	0.4155517883
136	0.4153949788
137	0.4153243612
138	0.4152596537
139	0.4151402181
140	0.4150385437
141	0.4149672038
142	0.4148175456
143	0.4147116292
144	0.4145779724
145	0.4144370117
146	0.4143772176
147	0.4142411906
148	0.4141754761
149	0.4141199849
150	0.4140704753
151	0.4140069377
152	0.413940389
153	0.4138132528
154	0.4136439616
155	0.413571818
156	0.4134489644
157	0.4133052979
158	0.4132229411
159	0.4131033427
160	0.4129933268
161	0.4128800456
162	0.4127763774
163	0.4126819661
164	0.4125822449
165	0.4124880778
166	0.4124085185
167	0.4123321635
168	0.412281545
169	0.4121774495
170	0.412078125
171	0.4120178833
172	0.4119547526
173	0.4118572896
174	0.4118100179
175	0.4116985067
176	0.4116197815
177	0.4115467326
178	0.4114783325
179	0.411457489
180	0.4113774923
181	0.4112751567
182	0.4111698507
183	0.4110872294
184	0.4109911397
185	0.4108570964
186	0.4107715759
187	0.4107110087
188	0.410638031
189	0.4106034444
190	0.4105323385
191	0.4104547729
192	0.4103979899
193	0.4103504944
194	0.4102720133
195	0.4101702677
196	0.4101110026
197	0.4100587362
198	0.4100195719
199	0.4099627686
200	0.4098658244
201	0.4097655843
202	0.4096452128
203	0.4095839335
204	0.4095299581
205	0.4094084371
206	0.4092782288
207	0.40921993
208	0.4090687358
209	0.4090011495
210	0.4088694458
211	0.4087450256
212	0.4087053324
213	0.4086357015
214	0.4085494995
215	0.4084909973
216	0.4084446106
217	0.4083509216
218	0.4082732747
219	0.4081612244
220	0.4080997925
221	0.4079615885
222	0.407894043
223	0.4078146464
224	0.4077271932
225	0.4076143595
226	0.407491689
227	0.4074067179
228	0.4072939046
229	0.4072477417
230	0.4071697795
231	0.4070809428
232	0.4069324341
233	0.4068632202
234	0.4067237651
235	0.4067026774
236	0.4066373494
237	0.406535848
238	0.4064955139
239	0.4063817546
240	0.4062815348
241	0.4062165019
242	0.4061134338
243	0.405978241
244	0.4058937887
245	0.4057945455
246	0.4056839091
247	0.4055801799
248	0.405440155
249	0.4053421733
250	0.4052567952
251	0.4051322225
252	0.4050432027
253	0.4049871724
254	0.4049073792
255	0.4047978312
256	0.4046780904
257	0.4045443827
258	0.4044575806
259	0.4043551025
260	0.4042485657
261	0.4040691325
262	0.4039779358
263	0.4038860881
264	0.4037786357
265	0.4036715393
266	0.4036106771
267	0.4034856466
268	0.4034117126
269	0.4033053385
270	0.4031932373
271	0.4030788269
272	0.4030199788
273	0.4029110413
274	0.4028558757
275	0.4027937113
276	0.4026746521
277	0.4025917155
278	0.4025271301
279	0.4024427185
280	0.4023104655
281	0.402231547
282	0.4021146037
283	0.4020770874
284	0.4019816996
285	0.4018995056
286	0.4018300374
287	0.4017438761
288	0.4016363525
289	0.4015169779
290	0.4013694051
291	0.4013254801
292	0.4011504211
293	0.4010681356
294	0.4009335734
295	0.4008190104
296	0.4007111104
297	0.4005762329
298	0.4004875081
299	0.4003567301
300	0.4002558085
301	0.4002182922
302	0.4001322225
303	0.4000592143
304	0.3999533488
305	0.3998812663
306	0.3997589925
307	0.3997024536
308	0.3996489258
309	0.3995881449
310	0.3994600627
311	0.3993395081
312	0.3992420553
313	0.39916804
314	0.399057312
315	0.3989257507
316	0.3988627523
317	0.3987378438
318	0.3986361491
319	0.3985653076
320	0.3984408162
321	0.398359731
322	0.3982569275
323	0.3981757406
324	0.3980357056
325	0.3979646912
326	0.3978366801
327	0.3977292582
328	0.3976554464
329	0.3975835571
330	0.3975024109
331	0.3974335937
332	0.3973240967
333	0.3972457784
334	0.3971320089
335	0.3970401001
336	0.3969371236
337	0.3968442586
338	0.3967385864
339	0.3966660563
340	0.3965068868
341	0.3964064229
342	0.3962961934
343	0.3961879069
344	0.3960420532
345	0.3958789775
346	0.3958008931
347	0.3956806132
348	0.395552124
349	0.3954572347
350	0.3953659871
351	0.3952522176
352	0.3951650187
353	0.3950424398
354	0.3949335124
355	0.3948878886
356	0.3947873942
357	0.3946998189
358	0.3946158549
359	0.394522817
360	0.3943937378
361	0.394313914
362	0.3941738383
363	0.39409139
364	0.3940229492
365	0.3939390666
366	0.393846995
367	0.3937167155
368	0.3936644287
369	0.3935992126
370	0.3934855855
371	0.3934237467
372	0.3933502604
373	0.3932728577
374	0.3931852417
375	0.3931002808
376	0.393014974
377	0.3928584086
378	0.3927554118
379	0.3926849874
380	0.3925982564
381	0.3924678853
382	0.3923872477
383	0.3922698364
384	0.3921875712
385	0.3921070557
386	0.3920344849
387	0.3918865051
388	0.3918061829
389	0.3917187093
390	0.3915924581
391	0.3915342814
392	0.3914033813
393	0.3913250122
394	0.3912291667
395	0.3911449076
396	0.391057373
397	0.3909976095
398	0.3909574076
399	0.3908494059
400	0.3907301534
401	0.3906531372
402	0.3905309753
403	0.3904052836
404	0.3902786051
405	0.3901450399
406	0.3900415853
407	0.3899405619
408	0.3898309937
409	0.3897624613
410	0.3896775309
411	0.3895360616
412	0.3894625041
413	0.3894124044
414	0.3893409322
415	0.3891674906
416	0.3890352681
417	0.3889546305
418	0.3888730876
419	0.3887845256
420	0.3886818339
421	0.388630544
422	0.3885503235
423	0.3884313049
424	0.3883580933
425	0.3882644755
426	0.388161499
427	0.3880674337
428	0.3879374898
429	0.3878609517
430	0.3877897644
431	0.3877505595
432	0.3876306254
433	0.3875259501
434	0.387440155
435	0.3874036255
436	0.3873215942
437	0.3872737223
438	0.3871407369
439	0.3870426941
440	0.3869600118
441	0.3868480021
442	0.3867561646
443	0.3866483053
444	0.3865835063
445	0.3865428772
446	0.3864752096
447	0.3864190369
448	0.3863526103
449	0.3862530823
450	0.3861676941
451	0.3860887858
452	0.38598408
453	0.3859190979
454	0.3857651774
455	0.3856498006
456	0.3855331217
457	0.3854468486
458	0.3853677775
459	0.3852694295
460	0.3851833191
461	0.3850673421
462	0.3850278117
463	0.3849295247
464	0.3848211466
465	0.3846930745
466	0.3845977071
467	0.3844944458
468	0.3843953145
469	0.3842963969
470	0.384265686
471	0.384198822
472	0.3840931091
473	0.3840035909
474	0.3839025777
475	0.3838275655
476	0.3837445577
477	0.3836429749
478	0.3835596008
479	0.3834678955
480	0.3833817342
481	0.3833328349
482	0.3832621257
483	0.3831679281
484	0.3831488139
485	0.3830180257
486	0.3829331868
487	0.3828401388
488	0.3827469889
489	0.3826371663
490	0.3825325114
491	0.3824785461
492	0.3824491272
493	0.3823840434
494	0.3822841187
495	0.3821633504
496	0.3821135763
497	0.3820417786
498	0.3820002035
499	0.3819393717
500	0.3818684285
501	0.3817756348
502	0.3816987
503	0.3816384277
504	0.381571401
505	0.381461202
506	0.3813829346
507	0.3813062744
508	0.3811849365
509	0.3810383097
510	0.3809304403
511	0.3808860881
512	0.3808107402
513	0.3807613424
514	0.3807015991
515	0.3806139018
516	0.3805437419
517	0.3804269511
518	0.3803778483
519	0.3802601013
520	0.3801740011
521	0.3800741272
522	0.3800076701
523	0.3799228719
524	0.3798586121
525	0.3797835185
526	0.3796943461
527	0.3796048584
528	0.3794724833
529	0.3794144592
530	0.3793415527
531	0.3792796936
532	0.3792126465
533	0.3791528219
534	0.3790961711
535	0.378981842
536	0.3788878682
537	0.3788401184
538	0.3787808329
539	0.3787204081
540	0.3785899251
541	0.3784818726
542	0.3783940837
543	0.3783202311
544	0.3783192037
545	0.3782582397
546	0.378182607
547	0.3780993551
548	0.3780195109
549	0.3779374491
550	0.3778949585
551	0.3778261617
552	0.3777068583
553	0.3776446737
554	0.3776268514
555	0.377534495
556	0.3774590861
557	0.3774401245
558	0.3773752136
559	0.377290212
560	0.3771704102
561	0.3770768026
562	0.3769878947
563	0.3768804525
564	0.3767997945
565	0.3767269999
566	0.3766762288
567	0.376671224
568	0.3765529175
569	0.3764361165
570	0.3763472188
571	0.3762786153
572	0.3762246501
573	0.3762238566
574	0.3761566772
575	0.3760662435
576	0.3759872945
577	0.3759011739
578	0.3758621216
579	0.3757576701
580	0.3756827494
581	0.3755773417
582	0.375497935
583	0.375406189
584	0.3753497416
585	0.3752378235
586	0.3751937256
587	0.3751422017
588	0.3750463867
589	0.3749677124
590	0.3749101868
591	0.3747776794
592	0.3746980998
593	0.3746119792
594	0.3745108541
595	0.3744406128
596	0.3743025818
597	0.374233846
598	0.3741336365
599	0.3740716248
600	0.3740695394
601	0.3740117086
602	0.3739440206
603	0.3738421122
604	0.3737579142
605	0.3737571716
606	0.3736767375
607	0.3736262919
608	0.3735304769
609	0.373462026
610	0.3733668009
611	0.373305542
612	0.3732239075
613	0.373172465
614	0.3731261393
615	0.3730834045
616	0.3730258586
617	0.3729352112
618	0.3728864034
619	0.3727980855
620	0.3727046102
621	0.3726156921
622	0.3725522664
623	0.3724999084
624	0.3724237773
625	0.3723624471
626	0.3722907104
627	0.372213328
628	0.3721610819
629	0.3720650126
630	0.3719444275
631	0.3718933004
632	0.3717957865
633	0.3717655029
634	0.3716849976
635	0.3716041361
636	0.3715068563
637	0.3714961955
638	0.3714335327
639	0.3713236491
640	0.371211141
641	0.3711579793
642	0.3710102234
643	0.3709031474
644	0.3707967224
645	0.3707038167
646	0.3706515299
647	0.3705796407
648	0.3705310669
649	0.3704348551
650	0.3703701375
651	0.3703555908
652	0.3702566732
653	0.3701794434
654	0.370127889
655	0.3700567118
656	0.369976766
657	0.3698965047
658	0.3698415019
659	0.3697596232
660	0.3696822611
661	0.3695654806
662	0.3695132039
663	0.36940861
664	0.3693399455
665	0.3692839762
666	0.3692216288
667	0.3691279704
668	0.3690084534
669	0.368923879
670	0.3688740641
671	0.3687682699
672	0.3686281738
673	0.3685399068
674	0.3684937236
675	0.3683796285
676	0.3683320719
677	0.368233846
678	0.3681788839
679	0.3681035156
680	0.3680249023
681	0.3679854024
682	0.3678972371
683	0.3678427226
684	0.3677988586
685	0.3676607564
686	0.3675517273
687	0.3674801839
688	0.3673754374
689	0.3672702128
690	0.3672023112
691	0.3671338399
692	0.3670808207
693	0.3670501404
694	0.3668999939
695	0.3667913208
696	0.3667058207
697	0.3666311849
698	0.3666306559
699	0.3665892436
700	0.3665271606
701	0.3665083211
702	0.3664520365
703	0.3663792826
704	0.3662654419
705	0.3662617086
706	0.3661571452
707	0.3660837097
708	0.3659697673
709	0.3658745321
710	0.3658237813
711	0.3658001912
712	0.3657124736
713	0.3656306356
714	0.3655156962
715	0.3654135539
716	0.3653131714
717	0.3651793518
718	0.3651125895
719	0.3650791321
720	0.3650289917
721	0.3649516602
722	0.3648681742
723	0.3648381144
724	0.3647454427
725	0.3646704915
726	0.3646349284
727	0.3645359192
728	0.3644657389
729	0.364387736
730	0.3643081055
731	0.364247996
732	0.3641980896
733	0.3641133016
734	0.3640539653
735	0.3640112
736	0.3639852295
737	0.3638749797
738	0.3637841695
739	0.3637175903
740	0.3636815389
741	0.3635671692
742	0.363498881
743	0.3634430644
744	0.3633326721
745	0.3632459412
746	0.3631550191
747	0.3631026713
748	0.3630108032
749	0.3628990987
750	0.3628284505
751	0.3627616984
752	0.3626956278
753	0.3626136983
754	0.3624955953
755	0.3624175517
756	0.3623331807
757	0.3622627055
758	0.3622142232
759	0.3621163432
760	0.3620632935
761	0.3619712118
762	0.3619167379
763	0.3618296814
764	0.3617443441
765	0.3617164307
766	0.3616487122
767	0.3615481466
768	0.3614914653
769	0.3614472351
770	0.3613538208
771	0.3612655029
772	0.3612198486
773	0.3611356099
774	0.3610400594
775	0.3609658915
776	0.3608826294
777	0.3607848409
778	0.3607085978
779	0.3606512553
780	0.3606260071
781	0.3605650024
782	0.3605463664
783	0.3605095317
784	0.3604533793
785	0.3603884583
786	0.3603445231
787	0.3602867126
788	0.3601730855
789	0.3600995483
790	0.3599996847
791	0.359945638
792	0.3599204203
793	0.3598438721
794	0.359783488
795	0.3597325846
796	0.3596930237
797	0.3596237386
798	0.3595126444
799	0.3593927714
800	0.3593022766
801	0.3592053731
802	0.3591606649
803	0.3591133118
804	0.358998291
805	0.3589504903
806	0.3588941243
807	0.3588338725
808	0.3587513835
809	0.3587178752
810	0.3586594442
811	0.3585866292
812	0.3585426839
813	0.3584836019
814	0.3584217224
815	0.3582803853
816	0.3582408956
817	0.3581852417
818	0.3581022644
819	0.3580607707
820	0.3580251363
821	0.3579243571
822	0.3579093119
823	0.3578779399
824	0.357802592
825	0.3576752625
826	0.3575752055
827	0.3574961039
828	0.3574399007
829	0.3573701172
830	0.3573217875
831	0.3572468872
832	0.3572084859
833	0.3571319071
834	0.3570610148
835	0.3570010376
836	0.3569391276
837	0.3568811646
838	0.3568183289
839	0.3567817688
840	0.3567083333
841	0.3566608988
842	0.356559967
843	0.3564893494
844	0.3564108175
845	0.3563507284
846	0.3562761943
847	0.3561914063
848	0.3561051839
849	0.3560148112
850	0.3559444173
851	0.3559207458
852	0.3558324178
853	0.3557537333
854	0.3556765951
855	0.3556120402
856	0.3555483398
857	0.3554721476
858	0.3554257711
859	0.355312205
860	0.3552691447
861	0.3552354126
862	0.3551781413
863	0.3551130066
864	0.3549982096
865	0.3549438375
866	0.3548422852
867	0.3547552185
868	0.3546860758
869	0.3546332703
870	0.3545912679
871	0.3544850769
872	0.3544095968
873	0.3543546753
874	0.354248057
875	0.3542077026
876	0.3541536967
877	0.354068044
878	0.3539509888
879	0.3539236552
880	0.3538577677
881	0.3537933655
882	0.3536889852
883	0.3536213175
884	0.3535330811
885	0.3534597371
886	0.353415212
887	0.3533874512
888	0.3533297221
889	0.3532737122
890	0.3531709188
891	0.3531194967
892	0.3530372721
893	0.3529667257
894	0.35288679
895	0.3528036499
896	0.3527158101
897	0.3526824239
898	0.3525977478
899	0.3525069478
900	0.3524254354
901	0.3523765157
902	0.3522944845
903	0.3522579651
904	0.3521887919
905	0.3520854492
906	0.3520328878
907	0.3519742432
908	0.3518848775
909	0.3517850342
910	0.3517124736
911	0.3515968831
912	0.3515539246
913	0.3514630432
914	0.3513971863
915	0.3513013611
916	0.3512023417
917	0.3511349284
918	0.3510351969
919	0.3509560547
920	0.3508924255
921	0.350874349
922	0.350851359
923	0.350782725
924	0.3507038371
925	0.3506282043
926	0.3505157471
927	0.350428894
928	0.3503568827
929	0.3503396403
930	0.3502699585
931	0.3502450663
932	0.3501777242
933	0.3500975444
934	0.3500206299
935	0.349974589
936	0.3499065043
937	0.3498768107
938	0.3497722626
939	0.3496687215
940	0.349639979
941	0.3495706228
942	0.3494832255
943	0.3493973846
944	0.349343811
945	0.3492760569
946	0.3492123667
947	0.3491231333
948	0.3490638733
949	0.3489673208
950	0.3489204152
951	0.3488181
952	0.3487204285
953	0.3486304525
954	0.3486125946
955	0.3485364736
956	0.348441569
957	0.3483750509
958	0.3482961324
959	0.3482114309
960	0.3481355489
961	0.3480593262
962	0.3479765778
963	0.3479094289
964	0.3478240407
965	0.3476712748
966	0.3476072083
967	0.3475487315
968	0.3475074463
969	0.3474745178
970	0.347390152
971	0.347330541
972	0.3472410583
973	0.3471635742
974	0.3470621948
975	0.3469637756
976	0.3468969014
977	0.3468085988
978	0.3467699076
979	0.3467152863
980	0.3467017873
981	0.3466275228
982	0.3465717417
983	0.3464793803
984	0.3464222412
985	0.3463744659
986	0.3463027649
987	0.3462740682
988	0.3462239278
989	0.3461677348
990	0.3460909526
991	0.3460374146
992	0.345964564
993	0.345924291
994	0.3458287354
995	0.3457923584
996	0.3457333323
997	0.3456246236
998	0.345548289
999	0.3454695536
