iter	Passed	Remaining
0	156	156323
1	168	83879
2	179	59768
3	191	47573
4	202	40221
5	214	35478
6	227	32258
7	239	29746
8	251	27715
9	263	26059
10	275	24736
11	286	23565
12	298	22637
13	309	21781
14	320	21060
15	332	20452
16	344	19943
17	355	19398
18	368	19024
19	386	18919
20	397	18530
21	409	18189
22	420	17873
23	432	17591
24	444	17339
25	456	17084
26	468	16887
27	480	16691
28	493	16515
29	504	16325
30	516	16147
31	528	15979
32	544	15943
33	556	15821
34	568	15682
35	581	15558
36	593	15438
37	604	15309
38	615	15169
39	629	15096
40	640	14985
41	652	14880
42	664	14779
43	675	14684
44	688	14611
45	701	14540
46	712	14453
47	724	14373
48	736	14298
49	749	14231
50	760	14152
51	772	14084
52	784	14010
53	795	13941
54	807	13872
55	819	13814
56	831	13748
57	843	13703
58	855	13641
59	867	13589
60	878	13530
61	890	13469
62	902	13429
63	914	13381
64	927	13337
65	939	13288
66	951	13243
67	963	13208
68	975	13160
69	987	13121
70	998	13070
71	1011	13033
72	1022	12990
73	1035	12962
74	1047	12913
75	1058	12873
76	1070	12837
77	1082	12797
78	1094	12757
79	1106	12727
80	1118	12690
81	1129	12648
82	1142	12617
83	1154	12584
84	1166	12552
85	1178	12525
86	1190	12490
87	1202	12458
88	1214	12427
89	1226	12405
90	1238	12370
91	1249	12334
92	1262	12309
93	1273	12276
94	1286	12251
95	1297	12216
96	1311	12207
97	1323	12178
98	1335	12149
99	1347	12125
100	1358	12092
101	1370	12067
102	1383	12045
103	1395	12019
104	1406	11991
105	1418	11965
106	1430	11942
107	1442	11918
108	1455	11897
109	1467	11872
110	1479	11845
111	1490	11819
112	1502	11790
113	1513	11759
114	1524	11728
115	1535	11699
116	1546	11674
117	1558	11650
118	1570	11627
119	1582	11602
120	1593	11577
121	1605	11552
122	1616	11526
123	1627	11500
124	1640	11480
125	1651	11457
126	1664	11439
127	1675	11413
128	1686	11388
129	1698	11366
130	1709	11342
131	1721	11318
132	1733	11297
133	1743	11270
134	1755	11245
135	1766	11224
136	1778	11205
137	1789	11180
138	1801	11160
139	1813	11139
140	1825	11122
141	1836	11098
142	1849	11084
143	1862	11074
144	1874	11053
145	1886	11036
146	1898	11018
147	1910	10999
148	1922	10980
149	1933	10958
150	1944	10935
151	1956	10916
152	1968	10894
153	1979	10876
154	1991	10858
155	2003	10839
156	2014	10819
157	2027	10802
158	2038	10782
159	2050	10765
160	2062	10746
161	2074	10731
162	2086	10714
163	2098	10695
164	2110	10678
165	2121	10660
166	2133	10643
167	2145	10624
168	2156	10604
169	2168	10585
170	2179	10566
171	2191	10547
172	2205	10544
173	2217	10527
174	2228	10507
175	2240	10488
176	2251	10469
177	2263	10452
178	2274	10431
179	2285	10410
180	2296	10392
181	2308	10377
182	2320	10360
183	2332	10343
184	2344	10327
185	2355	10310
186	2367	10295
187	2379	10277
188	2391	10261
189	2402	10243
190	2414	10225
191	2425	10208
192	2439	10198
193	2450	10182
194	2462	10166
195	2474	10149
196	2485	10131
197	2496	10112
198	2507	10093
199	2519	10076
200	2534	10074
201	2546	10059
202	2558	10043
203	2569	10025
204	2581	10009
205	2593	9994
206	2605	9980
207	2616	9963
208	2628	9948
209	2640	9931
210	2651	9915
211	2662	9897
212	2673	9879
213	2685	9862
214	2697	9848
215	2708	9830
216	2720	9814
217	2731	9797
218	2743	9782
219	2754	9766
220	2766	9750
221	2778	9736
222	2790	9721
223	2801	9706
224	2814	9693
225	2826	9679
226	2837	9662
227	2849	9648
228	2861	9634
229	2872	9617
230	2884	9601
231	2895	9585
232	2908	9573
233	2919	9557
234	2931	9542
235	2942	9525
236	2954	9510
237	2965	9495
238	2976	9478
239	2988	9464
240	3000	9448
241	3012	9435
242	3024	9420
243	3036	9406
244	3047	9390
245	3058	9375
246	3070	9360
247	3081	9344
248	3093	9331
249	3105	9316
250	3117	9301
251	3128	9286
252	3139	9270
253	3150	9253
254	3162	9239
255	3173	9223
256	3185	9210
257	3200	9205
258	3212	9190
259	3224	9178
260	3241	9176
261	3253	9164
262	3265	9150
263	3276	9135
264	3288	9121
265	3300	9107
266	3311	9092
267	3323	9076
268	3334	9062
269	3346	9047
270	3357	9032
271	3369	9018
272	3380	9001
